satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1557,46034,53.1574,0.0001135,15.31701835,469.9571782734847,471.5118721097042,1 46034U 20055H   26189.23804675  .00001717  00000+0  67064-4 0  9992,2 46034  53.1574 286.6060 0001135  97.0945 263.0185 15.31701835327322
STARLINK-1558,46035,53.1591,0.0001337,15.31710703,469.7923997367925,471.62378091394476,1 46035U 20055J   26188.27329388  .00004522  00000+0  15735-3 0  9993,2 46035  53.1591 291.1704 0001337  64.9947 295.1193 15.31710703327203
STARLINK-1560,46036,53.1589,7.78e-05,15.31706429,470.1879896389837,471.25367191745227,1 46036U 20055K   26189.55963410  .00002946  00000+0  10663-3 0  9999,2 46036  53.1589 285.1339 0000778 101.6364 258.4725 15.31706429327403
STARLINK-1569,46039,53.1594,0.0001567,15.31693037,469.68752936727014,471.8339739226367,1 46039U 20055N   26188.72069352  .00000187  00000+0  17799-4 0  9995,2 46039  53.1594 288.9476 0001567  64.1775 295.9388 15.31693037327266
STARLINK-1582,46043,53.1598,0.0001119,15.31702117,469.9672959364716,471.50007319567794,1 46043U 20055S   26189.25126173  .00001009  00000+0  44285-4 0  9998,2 46043  53.1598 285.7850 0001119  87.6481 272.4648 15.31702117327352
STARLINK-1591,46045,53.1613,0.0001272,15.31699068,469.8715959633737,471.61395097774493,1 46045U 20055U   26189.27532126  .00001318  00000+0  54228-4 0  9992,2 46045  53.1613 286.3710 0001272  64.1891 295.9242 15.31699068327337
STARLINK-1524,46047,53.1589,0.0001195,15.31692418,469.9441533645195,471.58104036817076,1 46047U 20055W   26189.22058163  .00000327  00000+0  22304-4 0  9992,2 46047  53.1589 273.2260 0001195  76.7121 283.4013 15.31692418327537
STARLINK-1527,46048,53.1583,0.0001269,15.31695038,469.88566236164206,471.6239110971137,1 46048U 20055X   26189.41166907  .00001281  00000+0  53044-4 0  9995,2 46048  53.1583 272.3169 0001269  70.6478 289.4660 15.31695038327535
STARLINK-1540,46051,53.1577,0.0001127,15.31693194,469.98841290875225,471.53215435648326,1 46051U 20055AA  26189.59346748  .00000942  00000+0  42118-4 0  9994,2 46051  53.1577 271.6801 0001127  70.9113 289.2010 15.31693194327605
STARLINK-1541,46052,53.1492,0.0012942,16.01591615,261.4065279845381,278.61459313028536,1 46052U 20055AB  26189.96700500  .00427152  91131-4  73965-3 0  9995,2 46052  53.1492 240.2374 0012942   4.0437 356.0696 16.01591615328037
